modelo,T_C,RH_pct,k,n,a,b,c,g,r2,rmse_pct
Newton,50,10,0.13392,,,,,,0.9938,10.89
Newton,60,10,0.19754,,,,,,0.9936,12.74
Newton,70,10,0.24881,,,,,,0.9926,14.37
Newton,50,20,0.11736,,,,,,0.9952,9.8
Newton,60,20,0.17297,,,,,,0.9945,11.25
Newton,70,20,0.2049,,,,,,0.9946,11.08
Newton,50,30,0.09931,,,,,,0.9965,7.24
Newton,60,30,0.13797,,,,,,0.9975,6.56
Newton,70,30,0.16585,,,,,,0.9966,8.06
Page,50,10,0.08745,1.19507,,,,,0.9982,5.92
Page,60,10,0.16853,1.09016,,,,,0.9966,8.93
Page,70,10,0.18642,1.1891,,,,,0.9959,9.14
Page,50,20,0.08138,1.15955,,,,,0.9988,4.83
Page,60,20,0.13766,1.11952,,,,,0.996,9.04
Page,70,20,0.17358,1.09551,,,,,0.9974,7.22
Page,50,30,0.07314,1.13665,,,,,0.9994,3.09
Page,60,30,0.11676,1.07778,,,,,0.9985,5.15
Page,70,30,0.13748,1.09557,,,,,0.998,6.54
Henderson_Pabis,50,10,0.14055,,1.05148,,,,0.9952,9.53
Henderson_Pabis,60,10,0.2039,,1.03238,,,,0.9941,11.2
Henderson_Pabis,70,10,0.25849,,1.04184,,,,0.9934,13.44
Henderson_Pabis,50,20,0.12295,,1.04794,,,,0.9965,8.76
Henderson_Pabis,60,20,0.17963,,1.03927,,,,0.995,10.04
Henderson_Pabis,70,20,0.21106,,1.03054,,,,0.9949,10.59
Henderson_Pabis,50,30,0.10318,,1.03717,,,,0.9975,6.93
Henderson_Pabis,60,30,0.14214,,1.03012,,,,0.998,6.27
Henderson_Pabis,70,30,0.17171,,1.03583,,,,0.9927,14.73
Logaritmico,50,10,0.12863,,1.07067,,-0.03291,,0.996,8.82
Logaritmico,60,10,0.22254,,1.20207,,0.02647,,0.9957,9.29
Logaritmico,70,10,0.27565,,1.03181,,0.01972,,0.9946,12.77
Logaritmico,50,20,0.11491,,1.06325,,-0.02564,,0.9964,7.86
Logaritmico,60,20,0.19041,,1.03097,,0.01825,,0.9958,9.02
Logaritmico,70,20,0.22786,,1.02026,,0.02311,,0.9961,8.05
Logaritmico,50,30,0.08613,,1.09422,,-0.08007,,0.999,5.32
Logaritmico,60,30,0.14607,,1.02547,,0.00904,,0.998,6.93
Logaritmico,70,30,0.17958,,1.02926,,0.01421,,0.9975,7.11
Modified_Midilli,50,10,0.08243,1.249165,,0.001647,,,0.9989,4.3842
Modified_Midilli,60,10,0.139781,1.230308,,0.002175,,,0.9989,5.5829
Modified_Midilli,70,10,0.165239,1.297477,,0.001333,,,0.9993,5.6216
Modified_Midilli,50,20,0.07621,1.225808,,0.001566,,,0.9991,3.7486
Modified_Midilli,60,20,0.121461,1.179043,,0.001722,,,0.9997,2.323
Modified_Midilli,70,20,0.14913,1.213382,,0.001422,,,0.9996,3.6049
Modified_Midilli,50,30,0.055194,1.300503,,0.002104,,,0.9992,3.0454
Modified_Midilli,60,30,0.098322,1.238872,,0.002484,,,0.9992,4.049
Modified_Midilli,70,30,0.138045,1.206457,,0.001858,,,0.9994,3.9583
